"zones","m_foodins","counts","share"
"north central","0",694,0.185
"north east","0",536,0.143
"north west","0",771,0.206
"south east","0",500,0.133
"south south","0",619,0.165
"south west","0",628,0.168
"north central","1",33,0.133
"north east","1",57,0.229
"north west","1",34,0.137
"south east","1",72,0.289
"south south","1",21,0.084
"south west","1",32,0.129
"north central","2",35,0.092
"north east","2",48,0.126
"north west","2",66,0.173
"south east","2",71,0.186
"south south","2",82,0.215
"south west","2",80,0.209
"north central","3",8,0.099
"north east","3",6,0.074
"north west","3",1,0.012
"south east","3",39,0.481
"south south","3",13,0.16
"south west","3",14,0.173
"north central","4",6,0.102
"north east","4",0,0
"north west","4",4,0.068
"south east","4",19,0.322
"south south","4",16,0.271
"south west","4",14,0.237
"north central","5",4,0.054
"north east","5",0,0
"north west","5",5,0.068
"south east","5",39,0.527
"south south","5",12,0.162
"south west","5",14,0.189
"north central","6",1,0.021
"north east","6",3,0.064
"north west","6",5,0.106
"south east","6",29,0.617
"south south","6",4,0.085
"south west","6",5,0.106
"north central",NA,19,0.053
"north east",NA,150,0.417
"north west",NA,14,0.039
"south east",NA,31,0.086
"south south",NA,33,0.092
"south west",NA,113,0.314
