"","NEIGHBORHOOD","count_2019","count_2020","count_2021","count_2022"
"1","ALASKA JUNCTION",1086,1262,1172,1364
"2","ALKI",291,399,369,400
"3","BALLARD NORTH",1450,1677,1223,1243
"4","BALLARD SOUTH",2618,3142,2810,2649
"5","BELLTOWN",1784,1578,1685,1707
"6","BITTERLAKE",1248,1517,1362,1494
"7","BRIGHTON/DUNLAP",790,980,815,910
"8","CAPITOL HILL",4284,4462,4340,4587
"9","CENTRAL AREA/SQUIRE PARK",1621,1935,1867,2108
"10","INTERNATIONAL DISTRICT",2196,1970,2012,2021
"11","CLAREMONT/RAINIER VISTA",351,478,487,553
"12","COLUMBIA CITY",392,466,417,416
"13","COMMERCIAL DUWAMISH",36,41,80,76
"14","COMMERCIAL HARBOR ISLAND",35,32,27,43
"15","DOWNTOWN COMMERCIAL",6142,4063,4173,4605
"16","EASTLAKE - EAST",103,101,127,140
"17","EASTLAKE - WEST",423,581,514,569
"18","FAUNTLEROY SW",308,374,241,212
"19","FIRST HILL",2552,2493,2461,2346
"20","FREMONT",1321,1569,1284,1440
"21","GENESEE",136,231,250,274
"22","GEORGETOWN",1037,1179,1276,1180
"23","GREENWOOD",1616,1867,1146,1319
"24","HIGH POINT",563,654,651,594
"25","HIGHLAND PARK",815,813,753,814
"26","HILLMAN CITY",239,330,272,280
"27","JUDKINS PARK/NORTH BEACON HILL",634,815,838,898
"28","LAKECITY",1865,2037,2090,1972
"29","LAKEWOOD/SEWARD PARK",257,371,331,240
"30","MADISON PARK",195,327,227,235
"31","LESCHI/MADRONA",728,924,842,877
"32","MAGNOLIA",1147,1561,1313,1086
"33","MID BEACON HILL",598,671,596,667
"34","MILLER PARK",435,641,506,520
"35","MONTLAKE/PORTAGE BAY",393,602,565,458
"36","MORGAN",583,823,629,599
"37","MOUNT BAKER",923,1180,1254,1242
"38","NEW HOLLY",357,348,340,493
"39","NORTH ADMIRAL",629,801,569,765
"40","NORTH BEACON HILL",1227,1322,1301,1475
"41","NORTH DELRIDGE",513,558,611,622
"42","NORTHGATE",3964,3957,4200,4059
"43","PHINNEY RIDGE",517,823,616,471
"44","PIGEON POINT",80,84,91,135
"45","PIONEER SQUARE",1400,984,893,981
"46","QUEEN ANNE",3786,4462,3762,4388
"47","RAINIER BEACH",643,510,549,674
"48","RAINIER VIEW",466,579,487,419
"49","ROOSEVELT/RAVENNA",2655,3168,2990,2971
"50","ROXHILL/WESTWOOD/ARBOR HEIGHTS",1136,1052,1070,1160
"51","SANDPOINT",1452,2254,1637,1494
"52","SLU/CASCADE",3005,3303,3344,3322
"53","SODO",1589,1024,1234,1583
"54","SOUTH BEACON HILL",271,298,211,259
"55","SOUTH DELRIDGE",305,257,287,362
"56","SOUTH PARK",654,511,535,525
"57","UNIVERSITY",3008,3127,2964,3143
"58","WALLINGFORD",1101,1537,1494,1564
